"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Sunflower - Spider-Man: Into the Spider-Verse","2019-09-06","N/A","Hip Hop","N/A","N/A","Post Malone, Swae Lee","N/A","N/A","N/A","N/A","22","N/A","N/A","N/A","N/A","953590444.7750001","N/A","N/A","N/A","891884915","4189860160","N/A","N/A","N/A","295692029","3283611317","N/A","N/A","N/A","133116","N/A","N/A","N/A","N/A","2347799","54648575","N/A","N/A","N/A","N/A","N/A"
"Hypnotize - 2014 Remaster","1997-03-04","N/A","Hip Hop","N/A","N/A","The Notorious B.I.G.","N/A","N/A","N/A","N/A","32","N/A","N/A","N/A","N/A","827767531.2749997","N/A","N/A","N/A","255969476","1607175827","N/A","N/A","N/A","64196094","316752089","N/A","N/A","N/A","67543","N/A","N/A","N/A","N/A","2596876","14142486","N/A","N/A","N/A","N/A","N/A"
"Blinding Lights","2019-11-29","N/A","Hip Hop","N/A","N/A","The Weeknd","N/A","N/A","N/A","N/A","42","N/A","N/A","N/A","N/A","768156115.095","N/A","N/A","N/A","545713376","5357441582","N/A","N/A","N/A","291403055","3375932547","N/A","N/A","N/A","758209","N/A","N/A","N/A","N/A","1881077","32365398","N/A","N/A","N/A","N/A","N/A"
"All The Stars (with SZA)","2018-01-03","N/A","Hip Hop","N/A","N/A","Kendrick Lamar, SZA","N/A","N/A","N/A","N/A","66","N/A","N/A","N/A","N/A","683790790.385","N/A","N/A","N/A","650863849","2935334499","N/A","N/A","N/A","197994840","835684573","N/A","N/A","N/A","80359","N/A","N/A","N/A","N/A","38890","79945","N/A","N/A","N/A","94400","10814687"
"Pal Pal (with Talwiinder)","2025-04-10","N/A","Hip Hop","N/A","N/A","Afusic, Talwiinder, AliSoomroMusic","N/A","N/A","N/A","N/A","70","N/A","N/A","N/A","N/A","673425419.2950001","N/A","N/A","N/A","37952777","43450726","N/A","N/A","N/A","768296215","775292042","N/A","N/A","N/A","176","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Circles","2019-09-06","N/A","Hip Hop","N/A","N/A","Post Malone","N/A","N/A","N/A","N/A","72","N/A","N/A","N/A","N/A","662623684.315","N/A","N/A","N/A","681236038","3122786178","N/A","N/A","N/A","86064510","1102196767","N/A","N/A","N/A","301762","N/A","N/A","N/A","N/A","1516684","30898543","N/A","N/A","N/A","N/A","N/A"
"The Way I Are","2007-01-01","N/A","Hip Hop","N/A","N/A","Timbaland, Keri Hilson, D.O.E.","N/A","N/A","N/A","N/A","94","N/A","N/A","N/A","N/A","600950329.6799998","N/A","N/A","N/A","208891","4209567","N/A","N/A","N/A","175622692","1105149256","N/A","N/A","N/A","94743","N/A","N/A","N/A","N/A","741549","3121926","N/A","N/A","N/A","N/A","N/A"
"luther (with sza)","2024-11-21","N/A","Hip Hop","N/A","N/A","Kendrick Lamar, SZA","N/A","N/A","N/A","N/A","98","N/A","N/A","N/A","N/A","593222938.325","N/A","N/A","N/A","633217796","1467981174","N/A","N/A","N/A","124742588","226069870","N/A","N/A","N/A","114850","N/A","N/A","N/A","N/A","6057517","13630591","N/A","N/A","N/A","229572","3613103"
"Flashing Lights","2007-09-11","N/A","Hip Hop","N/A","N/A","Kanye West a.k.a Ye, Dwele","N/A","N/A","N/A","N/A","115","N/A","N/A","N/A","N/A","566711264.3799999","N/A","N/A","N/A","346589280","1702792223","N/A","N/A","N/A","78808900","465292230","N/A","N/A","N/A","15648","N/A","N/A","N/A","N/A","647179","4491128","N/A","N/A","N/A","0","5241604"
"Without Me","2002-05-26","N/A","Hip Hop","N/A","N/A","Eminem","N/A","N/A","N/A","N/A","123","N/A","N/A","N/A","N/A","555885299.615","N/A","N/A","N/A","423552614","3031483384","N/A","N/A","N/A","343029698","3148904107","N/A","N/A","N/A","117108","N/A","N/A","N/A","N/A","31975","32454","N/A","N/A","N/A","29941","15078407"
