"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"1","Tiësto","Netherlands","Electronic","Warner Music Group, Big Indie Labels, Sony Music Entertainment, Universal Music Group","299","159","8240257","17910483663","34527323","392099768","555","7170000","6085537246","40401281","635","1247424","7906233","17894270","4064772","2067886","168","42","1347","300","38395","114077.04354789572"
"2","Armin Van Buuren","Netherlands","Electronic","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","757","862","4633102","8161323553","14042635","118019573","1124","6110000","3743336775","31335001","1501","2375607","4952589","9380101","1911144","1189077","210","119","3121","534","38090","88265.38359455456"
"3","DJ Dime","United States","Electronic","N/A","2979","185149","1319","1970095","11939","260377","1064","1410000","53625812","454131","69026","23670","130968","1105","32","7232","171073","41798","34","0","0","18.11160528855052"
"4","Robert Miles","United Kingdom","Electronic","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","3729","2077","322160","1058999914","7665043","72754325","5378","685000","507365537","3467043","N/A","N/A","5432","84546","70506","9570","975","1419","137","13","2535","10053.153622440248"
"5","Paul van Dyk","Germany","Electronic","Big Indie Labels, Universal Music Group, Warner Music Group","3872","7948","513745","626816209","1779366","18176540","5362","1700000","811114501","4375229","4972","111580","643890","3483721","451676","174057","2157","1554","771","108","3651","8908.4018690497"
"6","Dash Berlin","Netherlands","Electronic","Big Indie Labels, Universal Music Group","3894","3332","599754","1083452378","5583335","34732190","12051","875000","167029514","1546722","10714","11224","462018","3155228","443108","429758","4305","4443","835","98","6687","7276.07709185364"
"7","ATB","Germany","Electronic","Big Indie Labels, Universal Music Group","4048","2172","477953","1669968951","5698271","77043432","5483","485000","908940006","5201904","18785","36704","182834","1412332","316331","42145","958","2475","659","26","1444","6759.455450882864"
"8","Hypaton","Italy","Electronic","Warner Music Group, Big Indie Labels, Sony Music Entertainment, Universal Music Group, BMG","5158","2213","114079","566274868","6681476","104764546","53408","14000","1778560","14934","11468","264443","294192","6976","11431","13680","7842","273","32","18","1875","11676.595066944867"
"9","Above & Beyond","United Kingdom","Electronic","Big Indie Labels, Universal Music Group, Warner Music Group","5509","7170","874495","1466430533","2067399","31670230","8224","1320000","493572081","4949635","7407","316640","671172","2354315","303547","537599","2884","915","991","223","12812","31457.10746675642"
"10","Marlon Hoffstadt a.k.a DJ Daddy Trance","Germany","Electronic","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","5797","3348","207326","428643097","6213820","86936888","26694","37100","18828949","185300","4537","198528","398164","N/A","11920","226156","8187","99","237","47","4974","40115.275075337566"
